"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Gem",1,22,31681,47105,2421,"","24Gam Gem","Alhena",6.628528,16.399252,33.5121,-2.04,-66.92,1.93,"A0IV",0.001,"Gam",,"Gem","north",73.600748
"Gem",1,23,34088,52973,2650,"","43Zet Gem","Mekbuda",7.068481,20.570297,421.9409,-5.72,-0.96,4.01,"G3Ibv SB",0.899,"Zet",,"Gem","north",69.429703
"Gem",1,24,35550,56986,2777,"Gl 271A","55Del Gem","Wasat",7.335383,21.98232,18.5391,-18.72,-7.76,3.5,"F0IV...",0.374,"Del",,"Gem","north",68.01768
"Gem",1,25,35350,56537,2763,"GJ 9231A","54Lam Gem","",7.30155,16.540383,30.931,-46.09,-37.9,3.58,"A3V...",0.106,"Lam",,"Gem","north",73.45961700000001
"Gem",1,26,32362,48737,2484,"Gl 242","31Xi  Gem","Alzirr",6.754824,12.895591,17.9986,-115.16,-190.91,3.35,"F5IV",0.443,"Xi",,"Gem","north",77.104409
"Gru",1,1,108085,207971,8353,"","Gam Gru","Aldhanab",21.898808,-37.364852,64.7249,95.88,-12.1,3,"B8III",-0.084,"Gam",,"Gru","south",52.635148
"Gru",1,2,109111,209688,8411,"","Lam Gru","",22.101914,-39.543353,74.239,-24.16,-125.17,4.47,"M0III",1.349,"Lam",,"Gru","south",50.456647
"Gru",1,3,110997,213009,8556,"","Del1Gru","",22.487825,-43.495565,94.8767,25.62,-4.23,3.97,"G6/G8III",1.022,"Del-1",,"Gru","south",46.504435
"Gru",1,4,112122,214952,8636,"","Bet Gru","Tiaki",22.711115,-46.884577,54.2594,135.68,-4.51,2.07,"M5III",1.61,"Bet",,"Gru","south",43.115423
"Gru",1,5,109268,209952,8425,"Gl 848.2","Alp Gru","Alnair",22.137209,-46.960975,30.9693,127.6,-147.91,1.73,"B7IV",-0.07,"Alp",,"Gru","south",43.039025
"Gru",1,6,112122,214952,8636,"","Bet Gru","Tiaki",22.711115,-46.884577,54.2594,135.68,-4.51,2.07,"M5III",1.61,"Bet",,"Gru","south",43.115423
"Gru",1,7,112623,215789,8675,"GJ 9796","Eps Gru","",22.809239,-51.316864,39.5257,108.47,-65.93,3.49,"A3V",0.083,"Eps",,"Gru","south",38.683136
"Gru",1,8,113638,217364,8747,"","Zet Gru","",23.014677,-52.754137,33.3778,-65.09,-12.91,4.11,"G8III",0.96,"Zet",,"Gru","south",37.245863
"Gru",1,9,112623,215789,8675,"GJ 9796","Eps Gru","",22.809239,-51.316864,39.5257,108.47,-65.93,3.49,"A3V",0.083,"Eps",,"Gru","south",38.683136
"Gru",1,10,114421,218670,8820,"","Iot Gru","",23.17264,-45.246711,56.1798,132.42,-26.27,3.88,"K0III SB",0.998,"Iot",,"Gru","south",44.753289
"Gru",1,11,114131,218227,8787,"","The Gru","",23.11465,-43.520358,40.4367,-48.35,-13.98,4.28,"F5me...",0.423,"The",,"Gru","south",46.479642
"Her",1,1,83207,153808,6324,"","58Eps Her","",17.004827,30.926405,47.5285,-47.68,26.89,3.92,"A0V",-0.018,"Eps",,"Her","north",59.073595
"Her",1,2,84380,156283,6418,"","67Pi  Her","",17.250788,36.809162,115.4734,-27.35,2.7,3.16,"K3IIvar",1.437,"Pi",,"Her","north",53.190838
"Her",1,3,87808,163770,6695,"","91The Her","",17.93755,37.250539,230.9469,2.74,7.24,3.86,"K1IIvar",1.35,"The",,"Her","north",52.749461
"Her",1,4,86414,160762,6588,"","85Iot Her","",17.657747,46.006332,139.47,-7.17,3.97,3.82,"B3V SB",-0.179,"Iot",,"Her","north",43.993668
"Her",1,5,87808,163770,6695,"","91The Her","",17.93755,37.250539,230.9469,2.74,7.24,3.86,"K1IIvar",1.35,"The",,"Her","north",52.749461
"Her",1,6,84380,156283,6418,"","67Pi  Her","",17.250788,36.809162,115.4734,-27.35,2.7,3.16,"K3IIvar",1.437,"Pi",,"Her","north",53.190838
